	Hosp_diff	Beds_diff	Nurse_diff	area_diff	hispanic_diff	black_diff	2wk_prior_intra_diff	2wk_prior_inter_diff	2wk_onset_intra_diff	2wk_onset_inter_diff	RUCC_diff	elderly_diff	death_diff	More_Deaths
843	0.6286449516473228	0.6084587722414408	0.577905848711739	0.6499446038568754	0.4449124577659816	0.4541506448086447	0.49340018948563064	0.49287101525623994	0.4912337014975359	0.49124819808741144	0.5714285714285714	0.77374874190398	0.5631969896217167	0.0
63	0.6167208728625904	0.5452189275227739	0.5455605356673788	0.660956312715635	0.4028131352119526	0.397787443769557	0.49985504302269834	0.5018932783705361	0.4988362233615929	0.5010131644108912	0.5	0.6798652184299044	0.524247722133204	1.0
413	0.5160304411868958	0.5089832189678815	0.4989232336593938	0.6365966445669705	0.41645579055116116	0.2038255030856125	0.49693632527875836	0.4997857889230216	0.4951139122724631	0.4977384753769945	0.2857142857142857	0.5885253962350222	0.49333343659325635	1.0
384	0.6159527310502858	0.593851946830363	0.5434768705197394	0.6312106959292234	0.4243675487427906	0.488302483608616	0.5000888850184968	0.5026234006185587	0.49728520354388583	0.49994544101311145	0.35714285714285715	0.6525270667405277	0.5341395485072769	0.0
1591	0.640433566211639	0.7082374099969592	0.5365584544112972	0.6359849753552853	0.4441036615491034	0.5249551385573852	0.4953257444061565	0.496152154161396	0.49380608799502473	0.4950296130543271	0.5	0.6931236910052037	0.537287316929416	0.0
974	0.6452249820245958	0.6538047168235585	0.5658625963559328	0.6364466375987976	0.4449292926636121	0.516118410426947	0.4722815789675649	0.47204395063240057	0.4717738276016567	0.4717938086530668	0.5	0.7808884264234568	0.5424152256963758	0.0
1346	0.6302452043095481	0.6004131045705777	0.582246701723883	0.6328185311490634	0.3077254969038569	0.4965576321687761	0.45259624916185737	0.4553444427230325	0.459400060348523	0.46209633679808765	0.5	0.631334834878602	0.5174453820843493	1.0
884	0.585423042670438	0.6337887246481235	0.4606618920530317	0.6398655325563349	0.4569315650337706	0.5176986927112592	0.524832907912145	0.529973443173377	0.5152551976905432	0.5196993587105635	0.5	0.6444623446389389	0.48094537091295303	1.0
451	0.6197581516250655	0.5138452996293776	0.5537994725403083	0.678528747621425	0.3186310886780669	0.5291636180954773	0.532191021187839	0.532644364564395	0.5304554648508066	0.5300591272240835	0.5	0.6768015540204924	0.5216533739418504	1.0
1258	0.6234005000735402	0.6085558799170832	0.7333885174950814	0.4482218187297171	0.5225810194557997	0.49631223332633484	0.4967753141791731	0.49822381922911013	0.4950529086773452	0.4966338427383483	0.42857142857142855	0.8028922783551193	0.4919973819779243	1.0
656	0.6216716841661227	0.6771086378036887	0.5589901300475626	0.6415951029210781	0.35064738581857435	0.6657634158641528	0.5073896733307198	0.5146148097184058	0.5141840182317501	0.5272788610429171	0.5	0.647567002061849	0.5035776023840123	1.0
