FIPS,cum_deaths,Total Hospitals (2019),ICU Beds,m50,Inter_movement,Total_movement,Intra_movement,POP_ESTIMATE_2018,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Total_age65plus,normalized_deaths,percent_age65plus,normalized_deaths log,Total Hospitals (2019) log,m50 log,ICU Beds log,Total_movement log,Inter_movement log,Intra_movement log,Density per square mile of land area - Population log
51510.0,181,1.8092803380000002,40.0,3.912,187108.2741873344,316758.8674846838,129650.5932973494,160530,9314.3,1.0,18465.0,181.0,0.11502522892917212,5.198497031265826,0.592929162897661,1.3640487521725708,3.6888794541139363,12.665896093007577,12.139442734626606,11.772598367102498,9.139306132600586
51760.0,172,2.578537243,159.0,2.948,300326.48928410525,445902.3542757331,145575.86499162787,228783,3414.7,1.0,30172.0,172.0,0.13188042817866713,5.147494476813453,0.9472222780733675,1.0811269743270902,5.0689042022202315,13.00785527043059,12.61262545948548,11.888452638584477,8.135844920415453
51810.0,128,5.0739307689999995,50.0,5.279,836368.8073439541,1047974.8869554754,211606.07961152133,450189,1758.9,1.0,64004.0,128.0,0.14217139912347926,4.852030263919617,1.6241158168191265,1.6637366858414793,3.912023005428146,13.862370180747266,13.636824951895644,12.262481710176983,7.472443892638279
53005.0,243,2.464661896,44.0,3.594,349414.3257976473,417963.2635189613,68548.93772131403,201877,103.0,2.0,30097.0,243.0,0.14908582949023416,5.493061443340548,0.9020546362209787,1.2792657883613672,3.784189633918261,12.94314882132639,12.764013676979655,11.135303188463592,4.634728988229636
53007.0,73,0.940511766,20.0,3.648,122996.88970392047,153777.65638777777,30780.76668385729,77036,24.8,3.0,14696.0,73.0,0.19076795264551638,4.290459441148391,-0.061331119952479835,1.294179072212085,2.995732273553991,11.943263048437382,11.719914347074837,10.334645315590043,3.2108436531709366
53011.0,119,5.882862273,90.0,4.272,836479.899139763,1041348.2567032705,204868.3575635075,481857,676.2,1.0,74530.0,119.0,0.15467244431439203,4.77912349311153,1.7720434245934884,1.4520821016578938,4.499809670330265,13.856026832191983,13.636957769400947,12.230122893621848,6.516488890273786
53029.0,105,1.031149382,6.0,0.8,117817.03669481195,163731.00482699188,45913.96813217993,84460,376.6,4.0,20763.0,105.0,0.2458323466729813,4.653960350157523,0.03067408493689511,-0.2231435513142097,1.791759469228055,12.005980145712318,11.676888163637434,10.734524666358958,5.931183616223052
53033.0,300,27.26408533,450.0,3.778,4153020.819543492,4660813.81385112,507792.9943076279,2233163,912.9,1.0,295110.0,300.0,0.13214888478807862,5.703782474656201,3.3055702804102,1.3291947690793178,6.1092475827643655,15.354700629019836,15.23934653573384,13.137829151992971,6.816626345571035
53053.0,153,10.88162932,189.0,3.938,1532889.5279019438,1877334.8372198038,344445.30931786005,891299,476.3,1.0,123135.0,153.0,0.1381522923283881,5.030437921392435,2.387075983892305,1.3706729802169337,5.241747015059643,14.445363689227475,14.242665092571038,12.749690603038822,6.166047907806814
53057.0,100,1.565232508,18.0,3.423,210439.16353874357,256439.15831921983,45999.99478047626,128206,67.5,3.0,26591.0,100.0,0.20740838962295055,4.605170185988092,0.4480343803692121,1.2305173595480483,2.8903717578961645,12.454646715921497,12.2569518810162,10.736396562003318,4.212127597878484
53061.0,200,9.948906727999999,72.0,3.412,1396679.3808467677,1735880.2261806957,339200.845333928,814901,341.8,1.0,109768.0,200.0,0.1347010250324886,5.298317366548036,2.297462668550713,1.2272986296294326,4.276666119016055,14.367025177686683,14.149608106420352,12.734347675036897,5.83422577068149
53063.0,188,6.282991207999999,113.0,2.855,947058.2540492128,1051488.8217483321,104430.56769911933,514631,267.2,2.0,83279.0,188.0,0.16182274289733808,5.236441962829949,1.8378461740883012,1.0490718431079735,4.727387818712341,13.865717643301226,13.761115884583798,11.556277705627728,5.58799744166249
53073.0,192,2.755327353,24.0,2.8160000000000003,388769.5084930199,438008.00678165664,49238.498288636736,225685,95.5,3.0,39158.0,192.0,0.17350732215255776,5.2574953720277815,1.0135362569617805,1.0353174382957961,3.1780538303479458,12.989992469514917,12.870741923835176,10.804431082039592,4.5591262474866845
53077.0,222,3.06983646,52.0,3.293,474743.1175270848,523199.6682303033,48456.5507032185,251446,56.6,3.0,34524.0,222.0,0.13730184612203017,5.402677381872279,1.1216242898218836,1.1917990033942272,3.9512437185814275,13.167718445008532,13.070529131522761,10.788422813612268,4.036008985209137
55025.0,165,12.40794156,39.0,3.7439999999999998,992152.5698808384,1123554.2929791512,131401.72309831285,542364,407.7,2.0,74433.0,165.0,0.13723809102374052,5.10594547390058,2.518336715998543,1.3201545586153456,3.6635616461296463,13.93200769429897,13.807632174724063,11.786014498328043,6.0105316098252075
55079.0,315,21.69248437,381.0,3.015,1776043.479531115,2070907.7916398859,294864.31210877094,948201,3926.0,1.0,129003.0,315.0,0.1360502678229616,5.752572638825633,3.076965858159721,1.1035998301791488,5.942799375126701,14.543497615793994,14.38989868395255,12.594270570555071,8.275376374836407
55089.0,115,2.039461996,46.0,6.17,140140.62571242228,199197.5191897398,59056.89347731753,89147,370.7,1.0,17603.0,115.0,0.19746037443772646,4.74493212836325,0.7126860456229449,1.8196988379172965,3.828641396489095,12.202052170188317,11.850401666824093,10.986256554478645,5.915393110156686
55101.0,129,4.497353777,33.0,4.256,320645.44553078717,426146.4358033415,105500.99027255434,196584,587.7,3.0,32460.0,129.0,0.1651202539372482,4.859812404361672,1.5034891742517658,1.4483297520393432,3.4965075614664802,12.962538312201614,12.678091260611444,11.566475618323915,6.376216613618605
55133.0,132,9.22128648,64.0,5.901,702078.7472261782,914801.0482946516,212722.30106847337,403072,709.4,1.0,75190.0,132.0,0.1865423547157828,4.882801922586371,2.221514559288257,1.7751218280750316,4.1588830833596715,13.726461887057797,13.46180085225261,12.267742843216768,6.564419542339522
