FIPS,inter_movement,in_movement,out_movement
32027,8007.89944571498,2872.808049881296,2743.7429037732445
32029,3159.8328256052323,12472.838550749193,3546.180333124102
32031,935584.6343955388,146258.5206307174,95719.65436162193
32033,13539.724881610839,3243.3653782069373,3414.8512319026586
32510,94725.32709524258,41302.458450200145,25500.946657255605
33001,92737.84649117712,41614.85097738199,32435.58075303354
33003,66482.59708989675,35191.62767346661,22359.00518424073
33005,114987.73966638776,34920.104929995156,34691.16394880525
33007,46339.71673322158,16984.416052169683,12605.070833556962
33009,120321.36757351038,79050.39298232236,40660.73380291725
33011,678259.1689070323,188687.38621249222,188872.16727038607
33013,229246.89651241744,96999.47524362624,78745.01227955647
33015,489533.37203320727,195945.60304868378,175953.99117638118
33017,196716.31370269507,74046.06179349223,64075.129726451814
33019,57159.55789057416,19665.64437149531,25755.296475072533
34001,507310.64101858175,134684.41601953338,93628.0152645562
34003,1799118.6171096258,482556.1827724633,524850.9579181984
34005,783445.0279756405,209950.69473188976,262640.0737961294
34007,886754.0645797132,247014.9071647766,294541.4573934092
34009,159553.08118304607,42463.234159407424,44230.960107682105
34011,259960.59884739135,45065.90656207069,54812.28889817895
34013,1339790.1775196113,499677.9754959739,500421.4763247259
34015,507211.2659557328,170289.09077170896,179942.10598726128
34017,1132783.4409582103,365494.587965312,385695.1162574553
34019,196283.16759130033,57494.753013275134,91635.97168515965
34021,658417.8677637766,220335.7793666318,171296.13020499516
34023,1457304.157741774,460966.1973621192,476347.1586933302
34025,1236740.037987853,274119.28615103447,304577.0340168969
34027,886790.6572549876,297619.2506037462,294551.7626643418
34029,1063518.0361307382,115368.32831538153,277161.63370173605
34031,838828.5763350984,265986.3122351264,335446.45306085015
34033,93978.7659424559,28862.54752736448,49230.14310761324
34035,533784.8791242254,211613.45345488095,242591.15666169397
34037,224735.2917390095,49200.0411918945,99821.77330367961
34039,943712.7903029091,324711.5310311741,374024.89947725745
34041,159039.68012925726,52648.33073023143,73573.98069491163
35001,1371420.9524178195,241379.42969423064,154129.66381308011
35003,2589.771337668383,640.3225625476267,2290.324912532024
35005,121954.43747536649,15780.643963385754,21647.03293595344
35006,33689.35396960114,13241.378442609046,11065.732109338274
35007,15439.514021115334,6903.671950711642,4582.990960601651
35009,91005.58203171007,16712.652436740926,15820.374161852573
35011,2157.4968397910898,769.9322181189865,573.6477056021982
35013,367153.13870680303,61948.042001219364,86028.27543739622
35015,103170.50333023086,35592.0539929112,22889.46184324695
35017,42102.239142342216,6025.883095959909,7443.314453940348
35019,4749.659108902536,9104.642731673035,2500.081633029221
35021,451.6890946425592,135.25642656926192,268.5244881259714
35023,4303.720016950696,5763.701972304758,2872.4776543881444
35025,133119.41897281856,29768.907214370753,24173.793422419043
35027,26476.570424108348,12499.560332054005,7822.066835175831
35028,26366.885945263526,9516.420638907473,7935.120848571167
35029,40490.84127335049,9628.934550449356,8509.14072707591
35031,107174.48954694012,27983.01624970048,26677.940544842735
35033,4149.887237302544,688.1642860520025,2004.017555271719
35035,98804.97037601247,17264.29122775071,25800.08039885641
35037,11988.5570936182,10572.012511173856,3184.2164672138533
35039,49593.5830813072,11800.915085432664,22297.292461220524
35041,32477.369408981573,5376.503356073832,9371.683773920206
35043,192745.8307093487,60769.751453991725,103188.44235550356
35045,232719.04883080418,25470.24812649488,33706.09800726676
35047,38735.533369024684,6603.437468732528,10698.363115271528
35049,235354.8370312541,59848.17329660156,53867.38039932319
35051,14768.683910614413,4153.573665797607,4341.418532276793
35053,24289.087458593178,6796.849596251011,8831.288320290823
35055,45875.785022516815,10225.701878141399,11907.37574160053
35057,17095.140037332498,11000.234427634434,12810.81146904552
35059,4658.738952256294,1821.4908732058752,1852.4282473169962
35061,116927.40254377369,18769.60042375096,40067.12179850945
36001,519952.8269326804,209094.6623076247,112195.34582157772
36003,62380.46088202544,17401.144153369976,24167.180467477585
36005,2380053.684875074,517413.2390989132,830472.1080645007
36007,341962.32734300435,80848.59826875574,47824.434869213605
36009,117126.24090605312,37510.385370693155,36551.7421655092
36011,114331.97205807295,21460.1040618669,37476.96796007398
36013,222252.63339626484,34814.63918455139,35726.415594895036
36015,144788.30279772746,35382.54572574399,29832.081118642633
36017,66113.10125135192,16539.31620306373,25288.600782650166
36019,127967.84797818188,20906.03728994952,17794.334356033105
36021,83542.02439877248,19222.52630196628,32889.60804606234
36023,74254.30882153669,34760.37185521315,20907.227697831702
36025,52978.000520081514,17360.2918700526,21330.016598790342
36027,487807.40989976,93766.59802477979,125972.90921237858
36029,1777608.1954016772,208197.7248710576,169973.18557579682
36031,46247.886571249364,22510.845465596434,17972.617339431145
36033,78541.42865397743,13591.765652520986,17646.857224995623
36035,80311.9598042323,18032.38046888154,27564.492225539772
36037,89002.89796314818,28994.255009077122,28974.530752631446
36039,61602.13977427112,24391.26140879381,26282.594998154305
36041,3888.852796361379,2987.5015983264952,3642.779837328453
36043,92315.77141074577,22637.119147172605,34293.6003299518
36045,196056.01509700416,25893.701337370356,33106.37742659867
36047,4638538.963625223,857911.1804155104,1251347.163204971
36049,33810.65230305649,8905.673136849173,14828.408862165887
36051,84758.67708801912,29748.278395656504,36506.23720584128
36053,93606.34356858964,31896.479043635267,47293.98504083262
36055,1412309.0193434798,170243.68383152763,155753.1987139788
36057,68883.64708970248,23669.01374555033,25941.209354990435
36059,2724710.252557192,595029.6931831728,702431.8232893553
36061,2900224.487219935,2672471.5732853645,704072.7736915752
36063,347083.2886833874,55348.64902471268,98883.77584952375
36065,393584.4149308464,70210.18892455065,65028.47378014108
36067,854469.476416812,142337.9304919177,106059.80622981575
36069,161827.15492490216,63759.968443802165,53986.060856788936
36071,629075.8319458059,129043.0864910973,165009.9033336794
36073,56082.58052592067,9058.658905404798,25153.360946343837
36075,175662.07684573272,34705.291749446355,58714.89022377976
36077,83941.61641764347,26791.068639902554,24082.67825512915
36079,137930.26211261094,49056.94656259286,85839.59880536994
36081,4151988.688658896,896278.123757769,1337538.7238040476
36083,233728.47942002278,70608.50403834642,93518.9126538909
36085,939167.787859352,109059.15937133796,257141.56997941222
36087,555085.1473258918,99630.78646484044,162455.17682099636
36089,168414.45712106413,24082.53866145229,22870.04835229757
36091,349500.23137156403,84558.87007341601,118626.2552912066
36093,236367.95411088044,61572.86999278254,82449.84445848067
36095,38895.52119108434,10370.908280945345,16637.671316074717
36097,20979.00045301638,7554.238028720801,12289.589934043117
36099,46716.443003228866,17750.607880184416,19702.529144459193
36101,153056.50470760983,34397.066773425926,43398.090812186296
36103,3152859.05556085,288538.46580588055,518386.0994085036
36105,103537.11240826493,23641.09929711998,35737.95669274034
36107,60748.56422361949,17326.70284050203,38111.02926103992
36109,167459.89624893063,58200.89332725555,28898.437934806967
36111,273072.02368140133,59717.4669063426,85193.2489227811
36113,95334.18360956521,50664.93572238794,29198.48506012223
36115,76882.50595763848,16078.134513048228,44208.66889116389
36117,125724.73688547348,25287.526860800117,54852.62878399931
36119,1782753.4179629334,454987.25163290434,465210.43269177276
36121,47872.974484594095,12169.321060959817,27447.09452646282
36123,31503.10091541522,8071.003885621666,14514.86081054666
37001,295676.2901205758,86798.49114637727,74956.425866427
37003,59688.03373719016,11684.532986780008,32641.193150688217
37005,15755.49830567984,3503.321596772085,7702.4020555945635
37007,39062.94479940219,9692.306802502406,19186.930405632997
37009,46374.34666330752,7141.52173706516,13976.235759884405
37011,24972.82285055993,17643.877949959755,12367.836219854129
37013,76307.69685289686,20546.98659662046,25970.85975783114
37015,22022.894119301487,6159.159571815284,14989.20279698718
37017,49524.39082559866,13228.80454139141,25862.664181261072
37019,190880.52807973875,48900.495433466574,63806.11304760264
37021,478184.453831271,141653.54211411122,82407.06459455355
37023,157875.172284774,33714.55977525777,52314.50938141968
37025,336379.1560063022,143295.93289972164,131097.25849251202
37027,150233.7389179286,25384.737551382783,51567.0539207715
37029,11573.92727756179,4027.596758653392,12098.850173874083
37031,120186.9217266837,33279.283263901816,29245.98097485063
37033,26411.633640867683,6298.713071112129,26313.774520568084
37035,296225.5697524858,110620.75953457702,78338.98714148428
37037,94259.55194314649,31763.952057974595,55229.23768731266
37039,42207.309134589006,12385.234579151384,12896.801050352124
37041,19747.677931466802,7080.577679589813,9528.569258238556
37043,13795.702845041076,3994.441432142846,8181.030868808025
37045,176523.905540749,40686.798437857426,55567.008857643545
37047,100247.7500803024,17219.616215112354,35258.55037582366
37049,180991.49386526048,40567.56626849463,43620.89744754346
37051,597213.6063258862,146183.23595247697,104984.97028916923
37053,30298.775833353564,10309.371775504342,22555.909954658156
37055,56689.30629701313,19995.701922866167,12266.983368616146
37057,274627.7605550186,60524.2863032113,127522.96797054724
37059,63267.907560254345,20263.6885833772,35018.50030002358
37061,87390.10550530253,21347.678022456344,44281.61074488314
37063,486227.83996743464,197059.81815608958,138719.0601835468
37065,75423.6624994988,20273.670033838273,40158.603233630885
37067,701679.0024361418,197990.83113127504,140308.47036465973
37069,81278.96354669033,24385.18676288072,60866.905029232774
37071,403967.6178377091,95243.55058735609,121325.40388696415
37073,13107.46973525167,2823.6557078981045,11946.322749641564
37075,10155.184310562967,1344.7342723506856,5027.269120219934
37077,81557.92772511268,24191.1265064264,49380.44144098464
37079,25966.649843606127,6976.410225475787,21010.611585727052
37081,985106.6813214404,287275.4210380549,189312.78072834967
37083,78281.31943539648,24007.106672683592,24942.676230363042
37085,175923.85000710515,57103.12315477985,104811.33244406026
37087,104519.64487191087,26432.457768371132,27866.946131395158
37089,191850.16040705467,48813.98085782425,63405.81882736292
37091,34573.23094733396,12046.27040618232,13223.358179561412
37093,63093.33091525704,16940.21379865702,47471.14706828295
37095,5208.048239299307,1979.2043205551495,4590.876977114206
