FIPS,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Post Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,2wk Post Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,HospCt,NursingCt,Hispanic Population,Black Population,Outbreak_date,Outbreak Month Temp AVG / F,Time from outbreak to intervention,Time from outbreak to national intervention,Time from national intervention to outbreak,Deaths,normalized_deaths
13313,0.10236960383507633,0.10346716380619246,0.10192893247706723,0.255107532048202,0.25440602717610655,0.25333729617233686,353.2,3.0,30.6,15.7,4.7,80.3,0.1404931675347389,2.79,0.011224077953527705,0.01084930137802464,0.11937114412561742,0.06721954219599854,0.049162998981376486,104062,9.609655782129884e-06,5.7657934692779305e-05,0.35927620072648997,0.043618227595087544,2020-04-08,61.8,-25,0,20,4,3.8438623128519534e-05
17019,0.07672151691191328,0.07352363898846233,0.07479891229289991,0.1803941951763442,0.174408336457169,0.17879678695078038,201.8,3.0,4.9,44.4,4.4,81.8,0.12824847725768276,2.31,0.016915655076839554,0.012958191853626245,0.08091607415838425,0.038626936466285365,0.2138696942133411,209983,9.524580561283532e-06,0.00011905725701604416,0.060947791011653325,0.13561574032183557,2020-04-16,51.8,-30,0,28,6,2.8573741683850596e-05
17031,0.0851195877634481,0.06624000015883762,0.06271947201053754,0.19719986109430127,0.15137326560563694,0.14164425498279248,5495.1,1.0,13.3,38.0,4.0,97.4,0.14635035700270224,2.57,0.01701672022334554,0.011546584465995803,0.09534169817428573,0.05138468481667671,0.06807749764356404,5180493,9.265527431462603e-06,6.447262837726061e-05,0.25538438137065333,0.23862014676981516,2020-03-21,34.1,-4,0,2,455,8.782947877740593e-05
17037,0.08627011485580952,0.08921112591066405,0.09070838037259207,0.21889544733134794,0.22903192176691115,0.23677333775948184,166.6,1.0,7.6,31.4,4.4,97.3,0.12647993624151407,2.56,0.01341424771708132,0.006183804960487023,0.10243607347589373,0.055750266460539835,0.16529195433202423,104143,9.60218161566308e-06,8.64196345409677e-05,0.11446760704031957,0.0805719059370289,2020-05-19,56.8,-63,0,61,11,0.00010562399777229387
17043,0.07326722894320616,0.06843201274806644,0.07210071255574703,0.18920880420262817,0.170961457190887,0.17749941039577252,2799.8,1.0,7.4,48.8,3.1,143.8,0.15500722063259417,2.65,0.020747607391429362,0.01241991882307458,0.1007140941794486,0.05487034629960079,0.07019574860352643,928589,6.461416191662835e-06,9.36905347791111e-05,0.14455372613718231,0.05250223726535636,2020-03-27,33.7,-10,0,8,77,8.292150779300638e-05
17089,0.06951441792404997,0.06839435199031318,0.0718070967548707,0.17624144540785,0.16923812518852727,0.17555793376248022,990.8,1.0,15.9,33.1,4.9,122.7,0.13666569327762554,2.88,0.016377270617128653,0.01688455605972116,0.11052832562109709,0.06597331416505683,0.054852344370067536,534216,9.359510010931907e-06,0.00011044221812899651,0.32246881411264355,0.06001692199409976,2020-03-28,33.0,-11,0,9,29,5.428515806340506e-05
17091,0.0998256224615928,0.1071006585576134,0.10309633742248447,0.23359189163922678,0.2473642114447757,0.23705931692825463,167.7,3.0,12.1,21.0,5.4,82.8,0.16859957827383115,2.57,0.019332145713662475,0.010906711262997163,0.09936013960590416,0.05710572238784265,0.07060277757580165,110024,1.8177852104995273e-05,0.00013633389078746455,0.10626772340580237,0.15019450301752346,2020-04-04,50.3,-18,0,16,23,0.00020904529920744565
17093,0.08875815971543603,0.08544625057934678,0.08794121096040339,0.2277399612465867,0.22253170353080454,0.23271815547154642,358.2,1.0,7.9,35.4,3.5,143.5,0.10258374701950514,3.13,0.022249149826056365,0.023367079701364188,0.12477817300551147,0.07741078059648986,0.06427705898448188,127915,0.0,3.908845717859516e-05,0.19464488136653246,0.07704334909901106,2020-04-18,49.0,-32,0,30,12,9.381229722862839e-05
17097,0.07070453403954158,0.07542514774276451,0.07820052248103478,0.1673374340375847,0.1752177615829675,0.18015189701057355,1585.6,1.0,9.4,45.0,4.5,134.2,0.14241644217159033,2.76,0.017987192365645405,0.009204773754623077,0.11211816812017716,0.0636557691429615,0.06291950139263047,700832,7.134377425688325e-06,0.00010130815944477421,0.22172931601296744,0.07475828729281768,2020-04-01,47.4,-15,0,13,89,0.00012699191817725218
17111,0.08533627470497548,0.09170297084708727,0.09255760443335385,0.20730420048240963,0.21940911763480384,0.22000287038365918,511.9,1.0,7.2,33.7,3.5,132.6,0.1459117866286418,2.68,0.016508409761156303,0.0130019120458891,0.10238519622776031,0.06155815536183038,0.04926920957967398,308570,6.481511488479113e-06,7.129662637327024e-05,0.13448488187445312,0.017224616780633244,2020-04-02,47.5,-16,0,14,26,8.425964935022848e-05
