	Hosp_diff	Beds_diff	Nurse_diff	area_diff	hispanic_diff	black_diff	TWOwk_prior_intra_diff	TWOwk_prior_inter_diff	TWOwk_onset_intra_diff	2wk_onset_inter_diff	RUCC_diff	elderly_diff	death_diff	More_Deaths
1509	-1.5790342515604077	0.02774703027467659	-1.2163147822629146	0.050806642912701254	-0.9574840596192202	-0.6624203338052035	0.3657058629220425	0.43504003945963066	0.3338353406835908	0.3814175588261679	-2.0393620593117814	-0.41106172361093585	-0.37779351191416066	1.0
438	-0.2789505362414113	-0.11317075125275716	-0.5697085621182669	0.12605221264039845	-0.1585999292809228	0.26778763884942586	0.23209234412477647	0.20370455530938736	0.1997989588791068	0.18563139495949832	-0.027119968931371054	0.43529080505261375	0.07921768711548616	0.0
342	1.1413186519929215	-0.23266968892411738	0.9141150055998933	-0.2928803476555372	0.03632469032366337	2.0454172602531715	-0.04404611414386391	-0.047516787881030365	-0.03547005227074745	-0.03435660432608408	-0.027119968931371054	-0.07619755143054903	-1.3573673158232595	1.0
971	-0.30035351313429365	0.10200475458153817	-0.6197906399800523	-0.06863103168032908	-0.2858238880985554	0.3242131995130323	0.2767679196897533	0.2875553893412233	0.19663817374199077	0.21311536297382172	-1.0332410141215762	0.6336022766449636	-0.18938218178343075	1.0
710	-1.248498020378449	0.41320786631290557	-0.40983491481395906	-0.11554176079784902	0.20156710612476308	-0.7575295988208781	0.5540188607597982	0.655309685548935	0.5147505148027355	0.5784181740326959	-2.0393620593117814	-0.7268570885111095	-0.24242901596821456	1.0
1026	0.4420237409379829	0.6939360446170315	-2.082984678786474	-0.10586544165100807	0.08177113028970621	1.1410085763087472	0.17066595609293647	0.16534376073312052	0.1695593668458249	0.15818271869351253	-1.5363015367166788	0.10136424008184612	0.052937714445309335	0.0
458	0.07667814033591097	-0.20999827986568495	0.26244778507435906	0.08360366314652834	-4.815668153367106	-0.7659913699423619	-3.6565233833905353	-3.3488865548252558	-3.213909977510106	-2.9315766325135297	0.4759405536637315	3.5359727679771757	-0.06546797445709975	1.0
1166	-0.2771764555145901	0.13227917857188382	0.006905461440406965	-0.14611595451545054	0.13515628750941172	-0.22720109576443198	0.05980198819296445	0.08507737203314206	0.043029849741991796	0.05981216016501981	-0.5301804915264737	0.6651552211626421	-0.29754252179429885	1.0
669	-0.30855639203578633	0.8799150397613128	-0.638985036249852	-0.09890774675635391	0.5257240638556369	0.979525727038517	0.23776745119479872	0.24637041565182757	0.20305255230464495	0.21561692513540925	-1.0332410141215762	0.18339610772100112	0.19325605594681822	0.0
866	0.01355089236259233	-0.49929095320222866	0.11473264413752217	0.15508943337652062	-0.12177164936370931	-0.39333777041042434	0.03971083775616979	0.019517237245129947	0.038267458713249734	0.02218700446658346	-0.027119968931371054	0.170552739155468	0.008504619213170476	1.0
1392	0.03896636519988097	1.0423936643699947	-0.23276493087446878	0.2282526526131811	0.6942414120464642	0.4192474921353859	0.9527558133089403	0.9355587392439907	0.858809401640897	0.8338100248566319	-1.0332410141215762	-0.15400975701645073	0.0064202615953451395	1.0
845	1.2040981822470647	0.5224022732304952	1.5406834936744227	0.10327030667298559	0.029194306505089185	-0.06403805155874712	0.08230592600423409	0.07978116165666306	0.08240442902138524	0.07863096596982694	-1.5363015367166788	-0.03406705384200654	-0.4326213009463728	1.0
