FIPS,1 Month Prior Intra-Mobility,1 Month Prior Inter-Mobility,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Post Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,2wk Post Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,Area in square miles - Land area,NursingCt,HospCt,Hispanic Population,Black Population,Outbreak Month Temp AVG / F,Time from outbreak to intervention,Time from outbreak to national intervention,Time from national intervention to outbreak,Deaths,normalized_deaths
36053.0,0.052458910536458354,0.09391623702238859,0.04589206259521957,0.04954244145571213,0.04589206259521957,0.07432223825330687,0.07909860462300615,0.07432223825330687,112.2,2.0,8.8,27.0,4.8,87.4,0.18299314923370294,2.5,0.011088353697295007,0.01361678084610495,0.08251995197400946,0.04822374461473268,0.09004873225510276,70795.0,654.84,7.062645667066883e-05,0.0014266544247475105,0.02336323186665725,0.019210396214421922,44.2,-21,1,0,5,7.062645667066883e-05
36055.0,0.09711993762936964,0.1228820710989784,0.0715171748197821,0.06938626807133987,0.0715171748197821,0.08460046123789237,0.08433503587812018,0.08460046123789237,1132.6,1.0,9.7,37.7,4.3,89.0,0.1724626047511428,2.37,0.015290771124645441,0.011745865848501092,0.0900570255658784,0.05153446450650124,0.08252814239959917,742474.0,657.21,1.2121636582560467e-05,0.00020472097339435455,0.0903250484192039,0.16240434008463597,31.4,-6,16,0,56,7.542351651370957e-05
36059.0,0.10359106646848404,0.15161287371031176,0.07119772293995595,0.08805570989275684,0.07119772293995595,0.09333314823386214,0.12086469638796239,0.09333314823386214,4704.8,1.0,8.8,45.2,3.5,170.4,0.17763039232358838,2.99,0.016726997525661782,0.011069369076882643,0.09557821551699387,0.052478644937250754,0.07173225024901664,1358343.0,284.72,6.625719718804455e-06,0.00011190104413980857,0.17231362034478773,0.1298692598261264,39.7,-3,21,0,633,0.00046600895355591334
36061.0,0.04301392862866088,0.11504075947641709,0.032488818652761556,0.04832470784999825,0.032488818652761556,0.0712823111354208,0.11924384612557554,0.0712823111354208,69468.4,1.0,13.0,60.8,3.7,125.1,0.16510212740091643,2.08,0.014014849871154988,0.005455267725629198,0.0635868707638787,0.02912198125991204,0.08411120273150198,1628701.0,22.83,5.525876143012131e-06,9.332590819309376e-05,0.2585017139425837,0.17933985427650626,40.7,2,26,0,5077,0.003117208130896954
36063.0,0.06963193578410753,0.0951888996226148,0.061618866133842605,0.06510793051877367,0.061618866133842605,0.0788849657610736,0.08279628874069846,0.0788849657610736,414.4,1.0,8.8,23.8,5.2,81.3,0.1906022344404157,2.3,0.012997010925092548,0.009589750656978705,0.08322839098430379,0.05452566850256376,0.051664900467132055,210433.0,522.36,4.27689573403411e-05,0.0007223201684146498,0.031183322007479815,0.07346281239159258,44.4,-24,0,0,21,9.979423379412925e-05
36065.0,0.07006214534930372,0.09256887978449801,0.06129409429391576,0.06408991941079202,0.06129409429391576,0.07672900284311712,0.08013153383334176,0.07672900284311712,193.7,2.0,11.4,24.7,4.4,80.0,0.18755798708058735,2.44,0.008441612182405031,0.009177748642067803,0.09814572017231692,0.047160647625851024,0.06548565405071065,229577.0,1212.43,3.920253335482213e-05,0.0006620872299925515,0.060615828240633864,0.07059069506091638,43.6,-24,0,0,15,6.533755559137022e-05
36067.0,0.08126185748406181,0.10511210107580038,0.06462705824888017,0.06555601372614457,0.06462705824888017,0.0785782495731848,0.08048287124268758,0.0785782495731848,600.0,2.0,9.3,35.5,4.0,88.4,0.17027602320439836,2.39,0.015826889471621385,0.013098488769166474,0.08972973675264016,0.04992756745754197,0.08321622142487478,461809.0,778.39,1.9488576446106506e-05,0.0003291404022009099,0.050730929886598136,0.11910551764907137,45.4,-16,6,0,25,5.4134934572518075e-05
36069.0,0.0605951774141536,0.08976474810414957,0.06369043284684446,0.05977780320604175,0.06369043284684446,0.09701670116819795,0.09045989327064106,0.09701670116819795,167.6,1.0,6.6,34.5,3.9,93.0,0.19927364741862666,2.41,0.01023083084540887,0.017594480448554578,0.08617017403335032,0.054585669555086286,0.08310274521226244,109864.0,644.07,8.191946406466177e-05,0.0013835287264253988,0.050216631471637664,0.027852617781985,45.0,-39,0,15,9,8.191946406466177e-05
36071.0,0.07931585839170836,0.11583221033962106,0.06225443278625504,0.05938925598908158,0.06225443278625504,0.08144406705871407,0.08040691083411224,0.08144406705871407,459.3,1.0,10.3,29.8,3.9,110.9,0.140177666768774,2.89,0.018478810109150128,0.015211375281122447,0.11190178844930371,0.06392443009705434,0.06803490500090326,381951.0,811.69,2.3563231932891917e-05,0.0003979568059777301,0.20953211275791922,0.12902702179075326,35.0,-10,12,0,211,0.0005524268819822438
36075.0,0.061506435344838004,0.08603441715962695,0.06629277608004988,0.0632362599147447,0.06629277608004988,0.09283448404553088,0.0898433997426343,0.09283448404553088,128.3,2.0,12.2,18.6,5.5,79.4,0.16340395935469643,2.45,0.008863593954095913,0.005114590578296494,0.09850888055777028,0.0490932840251743,0.0776264228400821,117898.0,951.65,6.78552647203515e-05,0.001068720419345536,0.026785865748358752,0.01176440652089094,44.5,,0,18,3,2.544572427013181e-05
36079.0,0.06578027400743094,0.11713413189569025,0.05767763967618351,0.05746311994036788,0.05767763967618351,0.08618203985877816,0.08707551094700713,0.08618203985877816,432.9,1.0,7.0,39.9,3.7,149.1,0.17361363912146585,2.73,0.013631031832706387,0.00801884884520487,0.09134207013711929,0.056091493750758406,0.07223031185535736,98892.0,230.31,4.0448165675686606e-05,0.001537030295676091,0.15820288799902923,0.0373639930429155,50.5,-18,6,0,7,7.078428993245156e-05
36083.0,0.057116873668346925,0.09350144342680787,0.05035821355548908,0.053525509500095894,0.05035821355548908,0.07324293473488792,0.07836078323151993,0.07324293473488792,244.4,2.0,8.4,30.1,3.9,105.1,0.16953500332409277,2.38,0.015648323528304964,0.007701860237578555,0.08881599578530124,0.04686970810702324,0.08522221246597508,159442.0,652.43,5.644685841873534e-05,0.0009533247199608635,0.052319965881010025,0.07921375798095859,47.0,-20,2,0,11,6.899060473400986e-05
36087.0,0.06691343566395369,0.10173725198641152,0.04704752255067748,0.04636063977472359,0.04704752255067748,0.06160123516085387,0.06350573389213834,0.06160123516085387,1795.9,1.0,12.1,40.6,3.7,131.5,0.15691674726354413,3.21,0.021624526013601684,0.014995624740938608,0.1302384132393804,0.06536790555581141,0.06100185756612782,325695.0,173.55,2.7633215124579745e-05,0.00046669429988179125,0.18065674941279417,0.13296182010776955,37.4,-7,16,0,263,0.0008075039530849415
36091.0,0.06601234777092756,0.09888110351607948,0.056345471935727726,0.05973344356577122,0.056345471935727726,0.0770944318343335,0.08190096335454178,0.0770944318343335,271.1,2.0,5.9,41.4,3.5,123.0,0.18129760213413973,2.4,0.012673626951334489,0.008268053509903851,0.08790292097339711,0.05355335132058585,0.05592992792064754,230163.0,809.98,3.910272285293466e-05,0.0006604015415162298,0.03353710196686696,0.019464466486794143,45.8,-19,3,0,11,4.7792216820253475e-05
36093.0,0.06800606924456325,0.10491185801646025,0.059228930065750175,0.05968228424295372,0.059228930065750175,0.08074348245896364,0.08253390960503959,0.08074348245896364,756.6,2.0,9.7,31.4,4.0,93.6,0.17116189250080463,2.73,0.010704859993562922,0.010801416157064692,0.09953009333762472,0.05269391696169939,0.0637013196009012,155350.0,204.52,5.7933698101062115e-05,0.0009784357901512714,0.07369166398455101,0.12362407467009977,47.2,-16,6,0,15,9.65561635017702e-05
36101.0,0.07495928848803708,0.11078034871721472,0.06514140166902292,0.06818581748119515,0.06514140166902292,0.08793090078321193,0.09202442094212106,0.08793090078321193,71.2,4.0,10.0,23.1,4.9,81.1,0.19677230782078584,2.32,0.01152448954027308,0.014280345734686208,0.09837571506117165,0.04464695811933692,0.03689089314793937,95796.0,1390.56,9.394964299135663e-05,0.0012004676604451124,0.01700488538143555,0.01609670549918577,45.4,,3,0,35,0.0003653597227441647
36103.0,0.10944656605435514,0.1385760381015912,0.08535650939639104,0.10798058306553741,0.08535650939639104,0.10260554681094096,0.13186583923397857,0.10260554681094096,1637.4,1.0,9.6,35.6,3.9,147.9,0.16862951887558716,2.93,0.015450751573331317,0.012276744269266008,0.0908025356949226,0.05477913945984486,0.07047430512466131,1481093.0,912.05,6.076593434713418e-06,0.0001026269113418266,0.19775260567702366,0.08723625052579413,38.1,-1,23,0,263,0.0001775715637032921
