,FIPS,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Jan Temp AVG / F,Feb Temp AVG / F,Mar Temp AVG / F,Apr Temp AVG / F,May Temp AVG / F,Jun Temp AVG / F,Jul Temp AVG / F,Aug Temp AVG / F,Sep Temp AVG / F,Oct Temp AVG / F,Nov Temp AVG / F,Dec Temp AVG / F,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,Area in square miles - Land area,HospCt,Beds,NursingCt,Hispanic Population,Black Population,Deaths,Outbreak_date
26,1107,2319.0,2284.857142857143,4349.857142857143,4198.142857142857,22.4,3.0,19.4,13.5,4.6,75.4,45.4,54.2,53.9,62.8,74.2,78.4,81.2,81.3,80.6,66.7,49.2,50.0,3793.0,,,,,,,19938,881.41,1.0,56,3.0,948.0,8019.0,5,2020-05-15
27,1111,2944.0,3052.857142857143,4800.571428571428,4981.428571428572,39.5,6.0,21.2,14.9,4.0,81.3,44.5,53.4,53.0,62.0,72.1,75.1,78.6,79.1,77.4,65.4,49.1,49.1,4625.0,,,,,,,22725,580.55,1.0,34,5.0,661.0,4428.0,4,2020-04-10
28,1119,1033.5714285714287,928.5714285714287,2174.0,2116.5714285714284,15.2,8.0,15.8,21.8,5.9,55.9,46.9,56.1,55.5,63.7,74.7,78.8,81.3,81.4,81.1,67.8,50.2,50.9,2286.0,,,,,,,12691,903.89,1.0,33,2.0,146.0,9111.0,6,2020-05-01
29,1123,5439.571428571428,5573.428571428572,9149.714285714286,9301.714285714286,58.1,6.0,19.5,18.3,4.2,84.6,45.4,54.9,54.0,62.7,73.2,76.9,79.8,79.9,78.8,67.3,49.8,49.9,8731.0,,,,,,,40497,716.52,1.0,127,8.0,952.0,10994.0,18,2020-04-11
30,1125,34440.857142857145,33404.857142857145,48073.428571428565,46182.857142857145,147.3,3.0,11.6,30.3,3.7,105.4,45.4,54.6,54.2,63.4,74.2,78.1,80.3,80.2,80.0,66.0,48.9,50.0,27743.0,2.68,3283.0,2579.0,19520.0,9520.0,28982.0,208911,1321.75,1.0,787,9.0,8115.0,67003.0,12,2020-05-05
31,1129,1717.571428571429,1694.2857142857142,3560.285714285714,3552.714285714286,16.3,8.0,19.6,11.1,5.8,89.1,49.3,60.6,58.4,64.1,75.1,79.0,81.2,82.0,81.0,68.6,53.2,53.7,3130.0,,,,,,,16378,1080.21,0.0,0,1.0,259.0,3850.0,6,2020-05-12
32,1131,761.4285714285713,670.8571428571429,1576.857142857143,1368.0,13.1,9.0,23.1,12.5,9.6,50.9,48.9,60.0,57.3,64.2,75.5,79.1,81.1,81.6,81.4,68.7,51.7,52.6,2066.0,,,,,,,10627,888.5,1.0,30,1.0,150.0,7575.0,6,2020-05-01
33,2020,17353.571428571428,18416.85714285714,19762.285714285714,21113.85714285714,171.2,2.0,6.2,35.3,5.5,109.6,18.4,18.0,31.0,32.7,41.6,51.9,56.9,54.0,44.2,34.9,31.4,23.4,32333.0,2.71,5225.0,3469.0,31788.0,14966.0,22144.0,291538,1704.68,1.0,651,9.0,27107.0,17799.0,4,2020-04-07
34,4001,1815.2857142857144,2060.428571428572,2990.0,3369.857142857143,6.4,6.0,20.4,11.7,10.1,57.0,30.1,32.1,42.8,50.3,52.0,65.3,72.6,72.1,64.9,49.1,41.2,32.1,10986.0,3.22,610.0,1468.0,9553.0,4861.0,2398.0,71818,11197.52,1.0,20,4.0,4590.0,410.0,5,2020-04-08
35,4005,8443.57142857143,7820.142857142857,13077.571428571431,12936.285714285714,7.2,3.0,10.4,35.6,5.5,101.9,34.2,32.4,44.2,53.1,52.6,67.7,75.0,75.4,67.1,51.2,43.9,33.2,17855.0,2.7,1657.0,2093.0,13931.0,6169.0,26002.0,142854,18618.89,1.0,308,9.0,20389.0,2089.0,31,2020-03-31
36,4013,375295.5714285714,380139.4285714286,423604.5714285714,435716.1428571429,414.9,1.0,12.6,32.0,4.1,110.4,52.4,50.3,61.3,70.6,71.3,85.7,92.6,92.8,84.3,71.2,62.4,52.7,669285.0,2.75,53212.0,54502.0,476933.0,237397.0,287846.0,4410824,9200.14,1.0,8136,9.0,1379637.0,275869.0,69,2020-03-27
37,4015,17941.85714285714,16730.571428571428,25824.0,23014.857142857138,15.0,3.0,14.7,12.9,5.8,76.4,44.5,40.6,52.2,62.0,61.7,77.8,84.4,85.0,75.8,60.7,54.2,43.1,63526.0,2.28,1505.0,1855.0,16118.0,6323.0,7098.0,209550,13311.08,1.0,522,9.0,35269.0,2709.0,26,2020-04-21
38,4017,4400.142857142857,4915.428571428572,6735.571428571428,7423.714285714284,10.8,4.0,17.2,15.8,7.8,68.8,31.3,32.3,44.3,52.6,53.2,67.4,75.2,75.0,66.9,50.8,42.7,32.1,20010.0,3.14,981.0,772.0,15393.0,6031.0,3094.0,110445,9950.42,1.0,89,8.0,12649.0,1114.0,18,2020-04-08
39,4019,71719.0,73783.42857142858,82202.28571428571,86328.71428571429,106.7,2.0,11.7,31.9,4.5,90.4,51.2,49.1,58.7,67.2,67.7,81.6,87.6,87.8,80.2,69.1,61.6,51.6,205255.0,2.51,11508.0,9898.0,101155.0,51001.0,86670.0,1039073,9187.04,1.0,2160,9.0,390183.0,43252.0,29,2020-03-27
40,4021,29537.714285714286,28995.142857142862,47874.285714285725,45263.714285714275,70.0,1.0,14.6,19.0,5.0,99.6,50.9,49.2,59.3,68.4,69.7,84.2,90.2,89.8,82.6,70.2,61.3,51.1,91129.0,2.84,4653.0,6242.0,45966.0,27082.0,18882.0,447138,5365.61,1.0,249,9.0,136046.0,23222.0,19,2020-04-18
