FIPS,Beds,HospCt
36015,391,2
36017,58,1
36019,300,1
36021,192,1
36023,162,1
36025,4,1
36027,676,3
36029,2500,10
36033,173,2
36035,74,1
36037,131,2
36045,294,1
36047,5660,14
36051,67,1
36053,101,1
36055,1930,4
36057,130,2
36059,4181,11
36061,8496,15
36063,623,5
36065,701,3
36067,1632,4
36069,399,3
36071,902,5
36075,126,1
36077,240,2
36079,164,1
36081,3734,9
36083,408,2
36085,1162,3
36087,661,2
36089,274,3
36091,171,1
36093,368,1
36095,40,1
36101,115,3
36103,3227,11
36105,154,1
36109,212,1
36111,300,2
36113,410,1
36117,120,1
36119,2272,11
36121,62,1
37001,238,1
37003,25,1
37005,41,1
37007,15,1
37009,76,1
37011,50,1
37013,142,1
37015,6,1
37017,58,1
37019,100,1
37021,763,1
37023,315,1
37025,457,1
37027,110,1
37031,135,1
37035,613,2
37037,25,1
37039,191,1
37041,89,1
37045,343,2
37047,154,1
37049,350,1
37051,666,2
37055,21,1
37057,243,2
37059,50,1
37061,101,1
37063,1360,4
37065,117,1
37067,1855,4
37071,435,1
37077,142,1
37081,1619,5
37083,306,2
37085,151,1
37087,190,1
37089,325,2
37091,114,1
37093,49,2
37097,501,3
37099,86,1
37101,199,1
37105,127,1
37107,261,1
37109,101,1
37111,65,1
37113,83,2
37117,49,1
37119,2612,8
37121,46,1
37123,37,1
37125,372,1
37127,353,1
37129,769,1
37133,162,1
37135,896,1
37139,182,1
37141,86,1
37145,110,1
37147,909,1
37149,35,1
37151,145,1
37153,163,2
37155,452,1
37157,352,2
37159,268,1
37161,143,1
37163,146,1
37165,104,1
37167,109,1
37169,93,1
37171,226,2
37173,48,1
37175,94,1
37179,227,1
37181,102,1
37183,1781,5
37187,49,1
37189,217,2
37191,316,1
37193,130,1
37195,317,1
37197,22,1
38015,510,2
38017,1121,4
38035,302,2
38101,502,2
39003,753,2
39005,123,1
39007,249,1
39009,132,1
39011,140,1
39013,260,2
39017,765,6
39025,148,1
39027,165,1
39029,351,2
39031,56,1
39035,7087,16
39037,104,1
39039,23,1
39041,152,1
39043,424,2
39045,255,2
39049,5062,10
39053,287,1
39055,225,1
39057,176,2
39059,189,1
39061,3533,8
39063,176,1
39075,69,1
39077,114,1
39081,500,2
39083,111,1
39085,402,2
39087,8,1
39089,213,1
39091,115,1
39093,725,2
39095,3182,8
39097,94,1
39099,1306,4
39101,270,1
39103,171,1
39107,88,1
39109,193,1
39113,2480,9
39119,321,1
39129,82,1
39133,302,1
39139,358,1
39141,261,1
39143,159,2
39145,446,2
39147,120,1
39149,90,1
39151,1680,5
39153,2124,5
39155,565,2
39157,157,1
39159,97,1
39161,109,1
39165,328,1
39167,215,1
39169,150,1
39171,98,1
39173,196,1
40001,67,1
40009,93,2
40013,148,1
40017,123,2
40019,190,1
40021,100,1
40023,34,1
40027,589,3
40029,20,1
40031,482,2
40035,51,1
40037,55,1
40039,56,1
40041,58,1
40045,79,1
40047,436,3
40049,90,2
40051,99,1
40057,25,1
40065,49,1
40071,193,2
40075,38,1
40077,33,1
40079,43,1
40087,39,1
40089,91,1
40097,52,1
40101,365,2
40103,26,1
40109,3493,12
40111,107,2
40115,117,1
40119,216,2
40121,170,1
40123,156,1
40125,102,1
40127,25,1
40131,81,1
40133,32,1
40135,26,1
40137,138,1
40139,47,1
40143,3191,11
40145,100,1
40147,140,1
40151,25,1
40153,87,1
41001,65,1
41003,164,1
41005,551,4
41007,289,2
41011,172,1
41017,308,2
41019,125,1
41029,545,3
41033,125,1
41035,98,1
41039,496,2
41041,25,1
41043,98,2
41045,49,1
41047,469,3
41049,21,1
41051,1905,6
41057,25,1
41059,455,2
41065,49,1
41067,791,3
41071,128,2
42001,76,1
42003,6783,18
42005,155,1
42007,361,1
42009,49,1
42011,884,3
42013,450,3
42015,340,3
42017,1245,8
42019,296,1
42021,516,2
42025,155,2
42027,260,1
42029,871,5
42031,82,1
42033,310,2
42035,111,2
42037,173,2
42039,289,2
42041,484,2
42043,1061,2
42045,1123,5
42047,80,1
42049,952,5
42051,283,2
42055,304,2
42057,21,1
42059,77,1
42061,100,1
42063,164,1
42065,84,2
42069,712,3
42071,1132,4
42073,316,2
42075,172,1
42077,1698,5
42079,805,3
42081,271,3
42083,138,2
42085,521,4
42087,123,1
42089,235,1
42091,2224,9
42093,404,1
42095,362,2
42097,173,2
42101,6024,18
42105,59,1
42107,361,3
42111,224,3
42115,83,2
42117,83,1
42119,127,1
42121,164,1
42123,89,1
42125,602,4
42127,112,1
42129,654,3
42131,48,1
42133,831,5
44003,359,1
44005,129,1
44007,2237,7
44009,225,2
45001,25,1
45003,245,1
45005,25,1
45007,555,3
45013,290,2
45019,1851,7
45021,125,1
45023,82,1
45025,59,1
45027,89,2
45029,131,1
45031,188,2
45033,79,1
45035,104,2
45041,877,4
45043,298,2
45045,1380,6
45047,354,1
45049,32,1
45051,666,4
45053,41,1
45055,121,1
45057,211,1
45059,76,1
45061,20,1
45063,458,2
45067,124,1
45071,90,1
45073,169,1
45075,286,1
45077,164,2
45079,1799,9
45083,806,4
45085,283,1
45087,143,1
45089,25,1
45091,288,1
46011,49,1
46013,157,2
46029,81,1
46031,12,1
46035,67,1
46065,50,1
46081,48,2
46099,1059,2
46103,443,2
46135,99,1
47001,301,1
47003,60,1
47005,25,1
47007,25,1
47009,316,1
47011,348,2
47013,120,2
47015,60,1
47017,115,2
47019,121,1
47025,85,1
47027,34,1
47029,74,1
47031,184,2
47035,189,1
47037,3614,9
47039,40,1
47041,71,1
47043,157,1
47045,225,1
47049,85,1
47051,174,2
47053,70,1
47055,95,1
47059,240,2
47063,278,2
47065,1577,8
47069,51,1
47071,58,1
47073,50,1
47077,45,1
47079,142,1
47083,25,1
47089,54,1
47093,1902,6
47099,90,1
47103,59,1
47105,50,1
47107,262,2
47113,787,2
47115,68,1
47119,255,1
47123,59,1
47125,270,1
47131,137,1
47133,82,1
47135,53,1
47141,247,1
47143,25,1
47145,54,1
47147,109,1
47149,387,2
47151,25,1
47155,79,1
47157,3865,10
47159,35,1
47163,1092,3
47165,441,3
47167,100,1
47171,83,1
47177,125,1
47179,594,2
47181,78,1
47183,100,1
47185,60,1
47187,185,1
47189,245,1
48001,86,1
48003,34,1
48005,420,2
48013,67,1
48015,32,1
48021,305,7
48023,49,1
48025,69,1
48027,829,3
48029,5722,25
48037,682,2
48039,337,4
48041,537,4
48049,194,1
48053,46,1
48061,1192,4
48067,43,1
48069,17,1
48071,14,1
48073,74,1
48075,39,1
48083,8,1
48085,1868,14
48089,78,2
48091,268,3
48097,60,1
48113,6644,23
48115,22,1
48117,42,1
48121,1057,8
48123,49,1
48127,48,1
48133,52,1
48135,993,4
48139,164,2
48141,1868,7
48143,98,1
48145,36,1
48149,65,1
48157,810,8
48161,37,1
48163,22,1
48167,593,2
48171,86,1
48177,34,1
48179,115,1
48181,461,3
48183,686,3
48187,125,1
48189,68,1
48193,42,1
48195,25,1
48201,11983,42
48203,149,1
48205,21,1
48209,290,2
48211,26,1
48213,117,1
48215,1764,7
48217,116,1
48219,48,1
48221,83,1
48223,96,1
48227,150,1
48231,192,1
48237,17,1
48241,59,1
48245,1262,5
48249,159,1
48251,137,1
48253,70,2
48257,91,1
48265,124,1
48267,15,1
48273,100,1
48277,368,2
48279,75,1
48285,25,1
48291,4,1
48293,59,1
48299,30,1
48303,1256,4
48309,237,1
48321,58,1
48323,101,1
48325,25,1
48329,468,1
48331,10,1
48337,87,2
48339,1458,8
48341,25,1
48347,369,2
48349,162,1
48353,85,1
48355,1649,8
48357,25,1
48363,74,1
48365,49,1
48367,99,1
48371,41,2
48373,66,1
48375,836,2
48381,4,1
48383,7,1
48389,25,1
48391,20,1
48397,170,3
48399,25,1
48401,96,1
48405,18,1
48409,75,1
48415,25,1
48423,1032,4
48425,16,1
48427,48,1
48429,40,1
48439,4883,25
48441,753,2
48445,45,1
48449,164,1
48451,534,3
48453,2455,12
48455,45,1
48457,49,1
48461,14,1
48463,25,1
48465,93,1
48467,52,1
48469,648,3
48471,123,1
48477,60,1
48479,506,2
48481,49,1
48483,16,1
48485,366,2
48487,47,1
48491,619,6
48493,44,1
48497,99,1
48503,42,1
49001,49,1
49003,53,2
49005,150,2
49007,49,1
49011,319,2
49013,124,1
49017,41,1
49021,48,1
49035,2151,10
49041,27,1
49043,26,1
49045,31,1
49047,39,1
49049,704,5
49053,261,1
49057,477,2
50003,99,1
50007,562,1
50011,70,1
50021,123,1
50023,122,1
50025,61,1
51003,176,1
51005,205,1
51013,334,1
51015,255,1
51027,134,1
51041,438,3
51047,70,1
51051,25,1
51057,67,1
51059,1439,4
51061,97,1
51067,37,1
51073,67,1
51083,192,1
51085,225,1
51087,931,3
51103,76,1
51107,307,2
51117,99,1
51121,280,2
51131,143,1
51147,116,1
51153,243,2
51155,135,1
51165,238,1
51167,78,1
51173,44,1
51177,100,1
51179,100,1
51185,231,2
51187,60,1
51191,116,1
51195,60,1
51197,108,1
51199,145,1
51510,318,1
51515,50,1
51540,614,1
51550,310,1
51590,250,1
51595,80,1
51620,90,1
51630,420,1
51640,141,1
51650,200,1
51670,147,1
51680,702,2
51683,130,1
51690,223,1
51700,687,2
51710,973,3
51720,262,2
51730,300,1
51740,346,1
51760,1576,4
51770,934,2
51775,506,1
51800,150,1
51810,442,2
51830,40,1
51840,411,1
53005,389,2
53007,214,2
53009,126,1
53011,580,2
53015,202,1
53025,50,1
53027,105,1
53033,4262,14
53035,341,2
53041,100,1
53053,1227,6
53057,180,2
53061,671,4
53063,1340,4
53067,474,2
53071,214,2
53073,253,1
53077,503,3
54003,241,1
54009,231,1
54011,706,2
54025,122,1
54033,292,1
54039,651,3
54041,70,1
54045,140,1
54047,124,1
54049,207,1
54051,127,1
54053,201,1
54055,359,2
54059,76,1
54061,844,2
54067,105,1
54069,465,2
54079,70,1
54081,473,2
54083,90,1
54103,58,1
54107,273,1
55001,25,1
55003,35,1
55005,90,3
55009,1110,5
55013,25,1
55015,25,1
55017,218,2
55019,49,2
55021,98,2
55025,1549,4
55027,245,3
55029,25,1
55031,25,1
55033,25,1
55035,661,3
55039,146,1
55043,50,2
55045,95,1
55047,25,1
55049,25,1
55053,25,1
55055,82,1
55057,40,1
55059,517,3
55063,656,2
55065,25,1
55067,25,1
55069,25,1
55071,236,2
55073,424,2
55075,99,1
55079,4311,15
55081,25,1
55083,10,1
55085,172,2
55087,492,2
55089,326,3
55091,25,1
55095,50,2
55097,94,1
55099,25,1
55101,676,3
55103,25,1
55105,564,4
55107,25,1
55109,100,4
55111,161,3
55113,25,1
55117,370,2
55121,43,2
55123,50,2
55125,25,1
55127,134,2
55129,25,1
55131,141,2
55133,1085,5
55135,25,1
55137,25,1
55139,465,4
55141,603,2
56001,99,1
56005,90,1
56013,248,2
56021,206,1
56025,251,3
56033,88,1
56037,115,2
56039,48,1
56041,42,1
72005,154,1
72013,326,2
72015,38,1
72021,814,4
72025,435,2
72035,208,1
72053,38,1
72057,201,2
72069,227,1
72081,24,1
72091,150,1
72097,441,3
72099,106,1
72113,366,2
72125,167,1
72127,1706,8
72145,150,1
72153,105,1
